date,status,spread_before,spread_after,spread_gain,turnover,tc_paid,net_gain,n_positions,duration,c1_charge,c3_charge
2024-04-10,optimal,-0.003647,0.023671,0.027319,1.3654,0.001181,0.026138,33,2.25,0.008,0.01773
2024-04-12,optimal,0.023614,0.024329,0.000716,0.0586,5.7e-05,0.000658,30,2.25,0.008,0.017702
2024-04-15,optimal,0.024447,0.024688,0.000241,0.025,2.4e-05,0.000216,29,2.25,0.008,0.017736
2024-04-16,optimal,0.024908,0.025266,0.000358,0.0318,3.5e-05,0.000322,27,2.25,0.008,0.01771
2024-04-17,optimal,0.025113,0.025404,0.000291,0.0385,2.6e-05,0.000266,25,2.25,0.008,0.017681
2024-04-18,optimal,0.025538,0.025544,6e-06,0.0012,1e-06,6e-06,25,2.25,0.008,0.017697
2024-05-01,optimal,0.025484,0.025893,0.000409,0.0372,3.3e-05,0.000376,23,2.25,0.008,0.017913
2024-05-02,optimal,0.025716,0.025946,0.00023,0.028,2.3e-05,0.000207,22,2.25,0.008,0.017904
2024-05-03,optimal,0.025721,0.026057,0.000336,0.0385,3.4e-05,0.000302,20,2.25,0.008,0.01793
2024-05-06,optimal,0.026048,0.026077,2.9e-05,0.0065,4e-06,2.5e-05,20,2.25,0.008,0.017969
2024-05-07,optimal,0.026035,0.026044,1e-05,0.0022,2e-06,8e-06,20,2.25,0.008,0.017982
2024-09-23,optimal,0.024209,0.023315,-0.000893,0.1496,0.000111,-0.001005,16,2.25,0.008,0.019742
2024-09-24,optimal,0.023465,0.023465,1e-06,0.0017,1e-06,-0.0,16,2.25,0.008,0.019753
2024-09-25,optimal,0.023531,0.023534,3e-06,0.0016,2e-06,1e-06,16,2.25,0.008,0.019764
2024-09-26,optimal,0.023364,0.023364,0.0,0.0014,1e-06,-1e-06,16,2.25,0.008,0.019776
2024-09-27,optimal,0.023477,0.02348,3e-06,0.0021,1e-06,2e-06,16,2.25,0.008,0.019788
2024-09-30,optimal,0.023369,0.023355,-1.4e-05,0.0027,2e-06,-1.6e-05,16,2.25,0.008,0.019822
2024-10-01,optimal,0.023414,0.023409,-5e-06,0.0009,1e-06,-6e-06,16,2.25,0.008,0.019833
2024-10-02,optimal,0.023534,0.023534,0.0,0.0014,1e-06,-1e-06,16,2.25,0.008,0.019845
2024-10-03,optimal,0.023874,0.023878,3e-06,0.0021,2e-06,2e-06,16,2.25,0.008,0.019858
2024-10-04,optimal,0.024051,0.024047,-4e-06,0.001,1e-06,-5e-06,16,2.25,0.008,0.019871
2024-10-07,optimal,0.023993,0.024002,1e-05,0.0048,5e-06,5e-06,16,2.25,0.008,0.019904
2024-10-08,optimal,0.024146,0.024156,1e-05,0.0027,2e-06,8e-06,16,2.25,0.008,0.019915
2024-10-09,optimal,0.024097,0.024102,5e-06,0.002,2e-06,3e-06,16,2.25,0.008,0.019923
2024-10-10,optimal,0.02414,0.024145,5e-06,0.002,2e-06,3e-06,16,2.25,0.008,0.01993
2024-10-11,optimal,0.023995,0.023995,-0.0,0.0014,1e-06,-1e-06,16,2.25,0.008,0.019942
2024-10-15,optimal,0.023932,0.023922,-1e-05,0.005,4e-06,-1.4e-05,16,2.25,0.008,0.019994
2024-10-16,optimal,0.024085,0.024095,1e-05,0.0029,5e-06,5e-06,16,2.25,0.008,0.02
2024-10-17,optimal,0.024068,0.024131,6.3e-05,0.0116,1e-05,5.3e-05,15,2.25,0.008,0.02
2024-10-18,optimal,0.024456,0.024526,7e-05,0.0126,1.1e-05,5.9e-05,15,2.25,0.008,0.02
2024-10-21,optimal,0.024541,0.024644,0.000103,0.021,2.3e-05,8e-05,14,2.25,0.008,0.02
