date,cross_sectional_vol,mean_spread_that_day
2024-04-10,0.045291190299652236,0.20816216216216155
2024-04-12,0.04520724871360834,0.21192567567567844
2024-04-15,0.045383654085843175,0.22092567567567656
2024-04-16,0.04537300477201722,0.19937162162162234
2024-04-17,0.04601506995482,0.18995945945946055
2024-04-18,0.045905940053937416,0.1922094594594594
2024-05-01,0.04548720045001251,0.1801486486486504
2024-05-02,0.04690528818178104,0.18877027027027143
2024-05-03,0.0469106566298506,0.20464864864865073
2024-05-06,0.04687841443382939,0.20125000000000065
2024-05-07,0.046232170116040076,0.1769729729729712
2024-09-23,0.05553637042248506,0.15733783783783967
2024-09-24,0.05662703031065316,0.1490135135135122
2024-09-25,0.05704164602270875,0.1416351351351341
2024-09-26,0.05750181707212727,0.13356756756756766
2024-09-27,0.0583122035426932,0.13582432432432598
2024-09-30,0.05819556451696097,0.13740540540540636
2024-10-01,0.05676967631405609,0.14254729729729773
2024-10-02,0.05773357632487943,0.15002702702702517
2024-10-03,0.06230382778285187,0.1427972972972972
2024-10-04,0.06287161633891172,0.14815540540540603
2024-10-07,0.06200977902840558,0.1500337837837835
2024-10-08,0.06226739289419555,0.14625675675675925
2024-10-09,0.06289016308045989,0.14451351351351507
2024-10-10,0.06228610118507616,0.14829054054053836
2024-10-11,0.0626195995346829,0.14055405405405458
2024-10-15,0.06270895253242409,0.1403648648648641
2024-10-16,0.06301718500834881,0.1487837837837854
2024-10-17,0.06296758052977545,0.13818918918918677
2024-10-18,0.06474601507904999,0.1320337837837834
2024-10-21,0.05308369029957535,0.14013513513513454
